100, 150
37, 0, 1
49, 0, 1
5, 1, 1
16, 2, 1
49, 2, 1
76, 2, 1
26, 4, 1
32, 4, 1
5, 7, 1
44, 7, 1
4, 8, 1
9, 8, 1
66, 8, 1
65, 9, 1
13, 10, 1
27, 10, 1
13, 13, 1
58, 13, 1
76, 13, 1
54, 16, 1
7, 17, 1
9, 17, 1
12, 17, 1
52, 17, 1
65, 17, 1
80, 17, 1
92, 17, 1
55, 19, 1
78, 19, 1
93, 19, 1
49, 21, 1
61, 21, 1
99, 21, 1
49, 22, 1
54, 22, 1
65, 22, 1
79, 22, 1
91, 22, 1
13, 23, 2
44, 23, 1
54, 23, 1
72, 23, 1
32, 24, 1
49, 24, 1
87, 24, 1
5, 25, 1
5, 27, 1
18, 27, 1
26, 27, 1
32, 27, 1
49, 27, 1
54, 27, 1
55, 27, 1
64, 27, 1
76, 27, 2
79, 27, 1
80, 27, 1
91, 27, 1
80, 28, 1
61, 29, 1
66, 29, 1
64, 31, 1
88, 34, 1
6, 36, 1
18, 36, 1
32, 36, 1
49, 36, 1
61, 36, 1
64, 36, 2
66, 36, 1
79, 36, 2
84, 36, 1
96, 36, 1
34, 38, 1
69, 39, 1
78, 40, 1
80, 40, 1
19, 41, 1
96, 41, 1
1, 42, 1
13, 42, 2
19, 42, 1
25, 42, 1
49, 42, 1
53, 42, 1
55, 42, 2
64, 42, 1
66, 42, 1
76, 42, 2
79, 42, 1
83, 42, 1
85, 42, 1
90, 42, 1
99, 42, 1
9, 43, 2
13, 43, 1
19, 43, 1
21, 43, 1
40, 43, 1
44, 43, 1
55, 43, 1
64, 43, 3
68, 43, 1
76, 43, 2
80, 43, 1
44, 44, 1
71, 44, 1
21, 46, 1
49, 46, 1
63, 46, 1
66, 46, 1
38, 47, 1
9, 48, 1
12, 48, 1
13, 48, 1
26, 48, 1
44, 48, 1
65, 48, 1
66, 48, 3
76, 48, 1
84, 48, 1
44, 49, 1
8, 51, 1
32, 51, 1
64, 51, 1
65, 51, 1
76, 51, 1
78, 51, 1
5, 53, 1
13, 53, 1
44, 53, 2
46, 53, 1
49, 53, 1
55, 53, 1
60, 53, 1
62, 53, 1
65, 53, 1
96, 53, 1
26, 55, 2
50, 55, 1
76, 55, 1
79, 55, 1
1, 56, 1
8, 56, 1
9, 56, 1
26, 56, 2
32, 56, 1
44, 56, 1
55, 56, 1
57, 56, 1
64, 56, 1
66, 56, 1
72, 56, 1
76, 56, 1
78, 56, 1
59, 58, 1
84, 58, 1
66, 59, 1
89, 59, 1
1, 60, 1
54, 60, 1
44, 61, 1
90, 61, 1
6, 62, 1
76, 63, 1
44, 64, 1
53, 64, 1
59, 64, 1
5, 66, 1
9, 66, 1
27, 66, 1
54, 66, 1
76, 66, 1
9, 67, 1
26, 67, 1
49, 67, 1
55, 67, 1
95, 68, 1
28, 69, 1
38, 70, 1
16, 72, 1
26, 72, 1
65, 72, 1
5, 73, 1
10, 76, 1
56, 76, 1
57, 77, 1
96, 78, 1
55, 80, 1
76, 80, 1
55, 86, 1
71, 89, 1
26, 90, 1
0, 93, 2
2, 93, 1
5, 93, 1
9, 93, 1
11, 93, 1
26, 93, 1
31, 93, 1
44, 93, 2
49, 93, 1
53, 93, 1
55, 93, 1
64, 93, 2
66, 93, 3
76, 93, 1
80, 93, 1
88, 93, 1
8, 95, 1
13, 95, 2
23, 95, 1
26, 95, 1
42, 95, 1
44, 95, 1
49, 95, 1
55, 95, 1
66, 95, 1
49, 97, 1
66, 97, 1
99, 97, 1
7, 98, 1
76, 98, 1
2, 99, 2
19, 99, 1
49, 99, 1
69, 100, 1
66, 101, 1
26, 102, 1
38, 102, 1
44, 102, 1
19, 103, 1
21, 103, 1
75, 103, 1
10, 104, 1
33, 104, 1
49, 104, 2
59, 104, 1
65, 104, 1
79, 104, 1
89, 104, 1
49, 109, 1
76, 109, 1
44, 110, 1
11, 114, 1
13, 114, 1
47, 115, 1
13, 116, 1
63, 117, 1
54, 120, 1
3, 121, 1
4, 121, 1
9, 121, 1
13, 121, 1
41, 121, 1
49, 121, 1
55, 121, 1
87, 121, 1
49, 122, 1
59, 122, 1
13, 123, 1
37, 123, 1
58, 123, 1
60, 123, 1
64, 123, 1
76, 123, 1
13, 124, 1
55, 124, 2
66, 124, 1
76, 124, 1
88, 124, 1
96, 124, 1
76, 126, 1
9, 127, 1
20, 127, 2
52, 127, 1
66, 127, 1
80, 127, 1
37, 129, 1
65, 129, 1
43, 130, 1
76, 130, 1
5, 131, 1
9, 131, 1
26, 131, 2
30, 131, 1
32, 131, 1
44, 131, 1
55, 131, 1
76, 131, 1
80, 131, 1
15, 134, 1
44, 134, 1
56, 134, 1
40, 135, 1
5, 137, 1
9, 137, 2
11, 137, 1
49, 137, 1
64, 137, 1
34, 138, 1
26, 139, 1
30, 139, 1
43, 139, 1
44, 139, 1
49, 139, 1
70, 139, 1
96, 139, 1
34, 141, 1
34, 142, 1
56, 142, 1
76, 142, 1
1, 145, 1
55, 145, 1
13, 146, 1
26, 146, 2
28, 146, 1
31, 146, 1
40, 146, 1
44, 146, 1
53, 146, 1
64, 146, 1
65, 146, 1
72, 146, 1
76, 146, 1
87, 146, 1
96, 146, 1
28, 147, 1
55, 147, 1
84, 148, 1
11, 149, 1
13, 149, 1
26, 149, 1
28, 149, 1
32, 149, 1
36, 149, 1
44, 149, 1
54, 149, 1
61, 149, 1
90, 149, 1
